r_kpc,phi_mid,lap_phi,K_free_phi,V_eff,K_eff_phi
48.09806007509386,0.0002875857064221815,7.459041456385929e-07,-7.459041456385929e-07,0.0008390111321482845,-5.046165365036542e-07
48.348310387984974,0.0002831431593648149,7.267986520192367e-07,-7.267986520192367e-07,0.0008263266457769025,-4.928299148666343e-07
48.59856070087609,0.00027879164618951273,7.082774008791087e-07,-7.082774008791087e-07,0.0008138970747880334,-4.813696955701239e-07
48.8488110137672,0.0002745288470293155,6.903196543307794e-07,-6.903196543307794e-07,0.0008017160642949643,-4.7022546755500226e-07
49.09906132665832,0.00027035251259937133,6.729055114976377e-07,-6.729055114976377e-07,0.0007897774476694572,-4.593871941258814e-07
49.34931163954944,0.0002662604617042127,6.560158706877868e-07,-6.560158706877868e-07,0.0007780752401079928,-4.4884519801601644e-07
49.59956195244055,0.0002622505788451351,6.396323934818145e-07,-6.396323934818145e-07,0.0007666036324461693,-4.385901471280235e-07
49.84981226533166,0.0002583208119231832,6.237374705832018e-07,-6.237374705832018e-07,0.0007553569852106305,-4.2861304087174385e-07
50.100062578222776,0.0002544691700334659,6.083141893685917e-07,-6.083141893685917e-07,0.0007443298228984103,-4.1890519710447657e-07
50.35031289111389,0.0002506937213467364,5.933463030340789e-07,-5.933463030340789e-07,0.0007335168284740369,-4.094582396334669e-07
50.600563204005,0.00024699259107436976,5.78818201255837e-07,-5.78818201255837e-07,0.0007229128380751962,-4.00264086258718e-07
50.85081351689612,0.0002433639595130662,5.647148822610425e-07,-5.647148822610425e-07,0.0007125128359181778,-3.913149373081111e-07
51.10106382978723,0.00023980606016578058,5.510219262862309e-07,-5.510219262862309e-07,0.0007023119493947349,-3.826032646945304e-07
51.35131414267834,0.00023631717793555208,5.377254702861033e-07,-5.377254702861033e-07,0.0006923054443523673,-3.741218014073334e-07
51.60156445556946,0.0002328956473890683,5.248121838717644e-07,-5.248121838717644e-07,0.0006824887205504041,-3.6586353146344107e-07
51.85181476846057,0.0002295398510869488,5.122692464001953e-07,-5.122692464001953e-07,0.0006728573072846164,-3.5782168028331914e-07
52.10206508135168,0.0002262482179778775,5.000843251434904e-07,-5.000843251434904e-07,0.0006634068591734066,-3.4998970546120644e-07
52.3523153942428,0.000223019221853851,4.882455545061748e-07,-4.882455545061748e-07,0.0006541331520989505,-3.423612879362601e-07
52.60256570713391,0.0002198513798639389,4.767415162038642e-07,-4.767415162038642e-07,0.0006450320792969549,-3.34930323513923e-07
52.852816020025024,0.00021674325108407262,4.6556122039191667e-07,-4.6556122039191667e-07,0.0006360996475889806,-3.2769091476004814e-07
53.10306633291614,0.00021369343514049996,4.546940876548744e-07,-4.546940876548744e-07,0.0006273319737515533,-3.20637363210435e-07
53.35331664580725,0.00021070057088464953,4.4412993185261294e-07,-4.4412993185261294e-07,0.0006187252810165419,-3.1376416192166235e-07
53.603566958698366,0.00020776333511725417,4.338589437380917e-07,-4.338589437380917e-07,0.0006102758956975206,-3.070659883063053e-07
53.853817271589485,0.00020488044135968543,4.238716753532377e-07,-4.238716753532377e-07,0.0006019802439370753,-3.005376972855986e-07
54.1040675844806,0.00020205063867053996,4.1415902511649515e-07,-4.1415902511649515e-07,0.0005938348485702303,-2.9417431469805676e-07
54.35431789737171,0.0001992727105056135,4.047122236107862e-07,-4.047122236107862e-07,0.0005858363260993794,-2.879710309963124e-07
54.604568210262826,0.00019654547361947958,3.95522820003708e-07,-3.95522820003708e-07,0.0005779813837763152,-2.819231951861499e-07
54.85481852315394,0.00019386777700697495,3.8658266908304126e-07,-3.8658266908304126e-07,0.0005702668167871332,-2.760263090116759e-07
55.10506883604505,0.0001912385008829644,3.7788391888668184e-07,-3.7788391888668184e-07,0.000562689505535978,-2.702760213854049e-07
55.35531914893617,0.00018865655569883815,3.694189988688934e-07,-3.694189988688934e-07,0.000555246413023764,-2.6466812302369556e-07
55.60556946182728,0.00018612088119425863,3.6118060861284723e-07,-3.6118060861284723e-07,0.0005479345823181765,-2.591985413149802e-07
55.85581977471839,0.0001836304454827421,3.5316170702789535e-07,-3.5316170702789535e-07,0.0005407511341114132,-2.538633353757185e-07
